"Formatted ID","Name","Schedule State","Plan Estimate","Feature","Project","Direct Children Count","Release","Blocked","Parent ID"
"US202783","[HTD][Horizontal] Standardization activities","Defined","4.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
"US202695","[HTD][Horizontal] Standardization activities","Defined","4.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
"US202691","[HTD][Horizontal] Standardization activities","Defined","4.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
"US202687","[HTD][Horizontal] Standardization activities","Defined","4.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
"US202683","[HTD][Horizontal] Standardization activities","Defined","4.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
"US202679","[HTD][Horizontal] Standardization activities","Defined","4.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
"US202675","[HTD][Horizontal] Standardization activities","Defined","4.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
"US202655","[BDX][Parent][BDX-ML TCC]","Defined","44.0","Feature F4253: BDX ML Q215 Fully validated BDX-ML R0 test collateral in place for the ww19 PO TP","HTD - Rave","11","","False",""
"US202713","[BDX][Debug] TCC Support","Defined","4.0","Feature F4253: BDX ML Q215 Fully validated BDX-ML R0 test collateral in place for the ww19 PO TP","HTD - Rave","0","Q215","False","US202655"
"US202710","[BDX][Debug] TCC Support","Defined","4.0","Feature F4253: BDX ML Q215 Fully validated BDX-ML R0 test collateral in place for the ww19 PO TP","HTD - Rave","0","Q215","False","US202655"
"US202707","[BDX][Debug] TCC Support","Defined","4.0","Feature F4253: BDX ML Q215 Fully validated BDX-ML R0 test collateral in place for the ww19 PO TP","HTD - Rave","0","Q215","False","US202655"
"US202704","[BDX][Debug] TCC Support","Defined","4.0","Feature F4253: BDX ML Q215 Fully validated BDX-ML R0 test collateral in place for the ww19 PO TP","HTD - Rave","0","Q215","False","US202655"
"US202701","[BDX][Debug] TCC Support","Defined","4.0","Feature F4253: BDX ML Q215 Fully validated BDX-ML R0 test collateral in place for the ww19 PO TP","HTD - Rave","0","Q215","False","US202655"
"US202698","[BDX][Debug] TCC HVM Fuses emulation","Defined","4.0","Feature F4253: BDX ML Q215 Fully validated BDX-ML R0 test collateral in place for the ww19 PO TP","HTD - Rave","0","Q215","False","US202655"
"US202694","[BDX][Debug] TCC Support","Defined","4.0","Feature F4253: BDX ML Q215 Fully validated BDX-ML R0 test collateral in place for the ww19 PO TP","HTD - Rave","0","Q215","False","US202655"
"US202690","[BDX][Debug] TCC Support","Defined","4.0","Feature F4253: BDX ML Q215 Fully validated BDX-ML R0 test collateral in place for the ww19 PO TP","HTD - Rave","0","Q215","False","US202655"
"US202686","[BDX][Debug] TCC Support","Defined","4.0","Feature F4253: BDX ML Q215 Fully validated BDX-ML R0 test collateral in place for the ww19 PO TP","HTD - Rave","0","Q215","False","US202655"
"US202682","[BDX][Debug] TCC Support","Defined","4.0","Feature F4253: BDX ML Q215 Fully validated BDX-ML R0 test collateral in place for the ww19 PO TP","HTD - Rave","0","Q215","False","US202655"
"US202678","[BDX][Debug] TCC Support","Defined","4.0","Feature F4253: BDX ML Q215 Fully validated BDX-ML R0 test collateral in place for the ww19 PO TP","HTD - Rave","0","Q215","False","US202655"
"US202654","[BDX][Parent][BDX-ML MCC]","Defined","40.0","Feature F4240: BDX ML Q215 L0 EP ES2 Complete in ww15-patch17 TP","HTD - Rave","10","","False",""
"US202712","[BDX][Debug] MCC Support","Defined","4.0","Feature F4240: BDX ML Q215 L0 EP ES2 Complete in ww15-patch17 TP","HTD - Rave","0","Q215","False","US202654"
"US202709","[BDX][Debug] MCC Support","Defined","4.0","Feature F4240: BDX ML Q215 L0 EP ES2 Complete in ww15-patch17 TP","HTD - Rave","0","Q215","False","US202654"
"US202706","[BDX][Debug] MCC Support","Defined","4.0","Feature F4240: BDX ML Q215 L0 EP ES2 Complete in ww15-patch17 TP","HTD - Rave","0","Q215","False","US202654"
"US202703","[BDX][Debug] MCC Support","Defined","4.0","Feature F4240: BDX ML Q215 L0 EP ES2 Complete in ww15-patch17 TP","HTD - Rave","0","Q215","False","US202654"
"US202700","[BDX][Debug] MCC Support","Defined","4.0","Feature F4240: BDX ML Q215 L0 EP ES2 Complete in ww15-patch17 TP","HTD - Rave","0","Q215","False","US202654"
"US202693","[BDX][Debug] MCC Support","Defined","4.0","Feature F4240: BDX ML Q215 L0 EP ES2 Complete in ww15-patch17 TP","HTD - Rave","0","Q215","False","US202654"
"US202689","[BDX][Debug] MCC Support","Defined","4.0","Feature F4240: BDX ML Q215 L0 EP ES2 Complete in ww15-patch17 TP","HTD - Rave","0","Q215","False","US202654"
"US202685","[BDX][Debug] MCC Support","Defined","4.0","Feature F4240: BDX ML Q215 L0 EP ES2 Complete in ww15-patch17 TP","HTD - Rave","0","Q215","False","US202654"
"US202681","[BDX][Debug] MCC Support","Defined","4.0","Feature F4240: BDX ML Q215 L0 EP ES2 Complete in ww15-patch17 TP","HTD - Rave","0","Q215","False","US202654"
"US202677","[BDX][Debug] MCC Support","Defined","4.0","Feature F4240: BDX ML Q215 L0 EP ES2 Complete in ww15-patch17 TP","HTD - Rave","0","Q215","False","US202654"
"US202653","[BDX][Parent][BDX-ML HCC ]","Defined","48.0","Feature F4246: BDX ML Q215 Content deployed at QS levels","HTD - Rave","12","","False",""
"US202711","[BDX][Debug] HCC Support","Defined","4.0","Feature F4246: BDX ML Q215 Content deployed at QS levels","HTD - Rave","0","Q215","False","US202653"
"US202708","[BDX][Debug] HCC Support","Defined","4.0","Feature F4246: BDX ML Q215 Content deployed at QS levels","HTD - Rave","0","Q215","False","US202653"
"US202705","[BDX][Debug] HCC Support","Defined","4.0","Feature F4246: BDX ML Q215 Content deployed at QS levels","HTD - Rave","0","Q215","False","US202653"
"US202702","[BDX][Debug] HCC Support","Defined","4.0","Feature F4246: BDX ML Q215 Content deployed at QS levels","HTD - Rave","0","Q215","False","US202653"
"US202699","[BDX][Debug] HCC Support","Defined","4.0","Feature F4246: BDX ML Q215 Content deployed at QS levels","HTD - Rave","0","Q215","False","US202653"
"US202696","[BDX][Debug] HCC B0 Support","Defined","4.0","Feature F4246: BDX ML Q215 Content deployed at QS levels","HTD - Rave","0","Q215","False","US202653"
"US202692","[BDX][Debug] HCC Support","Defined","4.0","Feature F4246: BDX ML Q215 Content deployed at QS levels","HTD - Rave","0","Q215","False","US202653"
"US202688","[BDX][Debug] HCC Support","Defined","4.0","Feature F4246: BDX ML Q215 Content deployed at QS levels","HTD - Rave","0","Q215","False","US202653"
"US202684","[BDX][Debug] HCC Support","Defined","4.0","Feature F4246: BDX ML Q215 Content deployed at QS levels","HTD - Rave","0","Q215","False","US202653"
"US202680","[BDX][Debug] HCC Support","Defined","4.0","Feature F4246: BDX ML Q215 Content deployed at QS levels","HTD - Rave","0","Q215","False","US202653"
"US202676","[BDX][Debug] HCC Support","Defined","4.0","Feature F4246: BDX ML Q215 Content deployed at QS levels","HTD - Rave","0","Q215","False","US202653"
"US202672","[BDX][Debug] HCC Support","Defined","4.0","Feature F4246: BDX ML Q215 Content deployed at QS levels","HTD - Rave","0","Q215","False","US202653"
"US202652","[SKX][Parent][SKX Robustness]","Defined","64.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","8","","False",""
"US202748","[BDX][Debug] XCC Reset Robustness activities","Defined","8.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","0","Q215","False","US202652"
"US202746","[BDX][Debug] XCC Reset Robustness activities","Defined","8.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","0","Q215","False","US202652"
"US202744","[BDX][Debug] XCC Reset Robustness activities","Defined","8.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","0","Q215","False","US202652"
"US202742","[BDX][Debug] XCC Reset Robustness activities","Defined","8.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","0","Q215","False","US202652"
"US202738","[BDX][Debug] XCC Reset Robustness activities","Defined","8.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","0","Q215","False","US202652"
"US202736","[BDX][Debug] XCC Reset Robustness activities","Defined","8.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","0","Q215","False","US202652"
"US202734","[BDX][Debug] XCC Reset Robustness activities","Defined","8.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","0","Q215","False","US202652"
"US202732","[BDX][Debug] XCC Reset Robustness activities","Defined","8.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","0","Q215","False","US202652"
"US202651","[SKX][Parent][SKX HSD support]","Defined","64.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","8","","False",""
"US202747","[BDX][Debug] XCC Reset HSD support","Defined","8.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","0","Q215","False","US202651"
"US202745","[BDX][Debug] XCC Reset HSD support","Defined","8.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","0","Q215","False","US202651"
"US202743","[BDX][Debug] XCC Reset HSD support","Defined","8.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","0","Q215","False","US202651"
"US202741","[BDX][Debug] XCC Reset HSD support","Defined","8.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","0","Q215","False","US202651"
"US202737","[BDX][Debug] XCC Reset HSD support","Defined","8.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","0","Q215","False","US202651"
"US202735","[BDX][Debug] XCC Reset HSD support","Defined","8.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","0","Q215","False","US202651"
"US202733","[BDX][Debug] XCC Reset HSD support","Defined","8.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","0","Q215","False","US202651"
"US202731","[BDX][Debug] XCC Reset HSD support","Defined","8.0","Feature F4099: SKX Q215 Modules ready for ES1","HTD - Rave","0","Q215","False","US202651"
"US202650","[SKX][Parent][SKX PowerOn Support]","Defined","72.0","Feature F4096: SKX Q215 Release sort, class & PPV test programs with 80/100 content deployed","HTD - Rave","7","","False",""
"US202754","[SKX][Debug] XCC support activities","Defined","8.0","Feature F4096: SKX Q215 Release sort, class & PPV test programs with 80/100 content deployed","HTD - Rave","0","Q215","False","US202650"
"US202753","[SKX][Debug] XCC support activities","Defined","8.0","Feature F4096: SKX Q215 Release sort, class & PPV test programs with 80/100 content deployed","HTD - Rave","0","Q215","False","US202650"
"US202752","[SKX][Debug] XCC support activities","Defined","8.0","Feature F4096: SKX Q215 Release sort, class & PPV test programs with 80/100 content deployed","HTD - Rave","0","Q215","False","US202650"
"US202751","[SKX][Debug] XCC support activities","Defined","8.0","Feature F4096: SKX Q215 Release sort, class & PPV test programs with 80/100 content deployed","HTD - Rave","0","Q215","False","US202650"
"US202750","[SKX][Debug] XCC support activities","Defined","8.0","Feature F4096: SKX Q215 Release sort, class & PPV test programs with 80/100 content deployed","HTD - Rave","0","Q215","False","US202650"
"US202740","[SKX][Debug] XCC PO activities","Defined","16.0","Feature F4096: SKX Q215 Release sort, class & PPV test programs with 80/100 content deployed","HTD - Rave","0","Q215","False","US202650"
"US202730","[SKX][Debug] XCC PO activities","Defined","16.0","Feature F4096: SKX Q215 Release sort, class & PPV test programs with 80/100 content deployed","HTD - Rave","0","Q215","False","US202650"
"US202632","BDX_TPI: WW31 Rev 31H0 TP Fuse Validation support","Defined","2.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","Class TPI - Rave","0","Q215","False",""
"US202631","BDX_TPI: WW29 Rev 29G0 TP Fuse Validation support","Defined","2.0","Feature F4254: BDX ML Q215 R0 EP Pre-QS Complete in ww29TP","Class TPI - Rave","0","Q215","False",""
"US202630","BDX_TPI: WW27 Rev 27F0 TP Fuse Validation support","Defined","2.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202629","BDX_TPI: WW25 Rev 25E0 TP Fuse Validation support","Defined","2.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202628","BDX_TPI: WW23 Rev 23D0 TP Fuse Validation support","Defined","2.0","Feature F4255: BDX ML Q215 Fully validated BDX-ML M0 test collateral in place for the ww23 PO TP","Class TPI - Rave","0","Q215","False",""
"US202627","BDX_TPI: WW21 Rev 21C0 TP Fuse Validation support","Defined","2.0","Feature F4247: BDX ML Q215 Release BDX-ML ELT TP with HOT, COLD, FQA, CMT-OLF and EDC capability at PO+4wks (ww21TP)","Class TPI - Rave","0","Q215","False",""
"US202626","BDX_TTR: TTR Analysis and Feedback to MO if required per TP basis","Defined","4.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","Class TPI - Rave","0","Q215","False",""
"US202625","BDX_TTR: Report TT actuals","Defined","4.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","Class TPI - Rave","0","Q215","False",""
"US202624","BDX_TTR: TTR Analysis and Feedback to MO if required per TP basis","Defined","4.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202623","BDX_TTR: Report TT actuals","Defined","4.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202622","BDX_TTR: Search for improvements and TT reduction oportunities per TP basis","Defined","4.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202621","BDX_TTR: TTR Analysis and Feedback to MO if required per TP basis","Defined","2.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202620","BDX_TTR: Report TT actuals","Defined","1.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202619","BDX_TTR: cTTR validation in TP","Defined","4.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202618","BDX_TTR: Search for improvements and TT reduction oportunities per TP basis","Defined","4.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202617","BDX_TTR: TTR Analysis and Feedback to MO if required per TP basis","Defined","2.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202616","BDX_TTR: Report TT actuals","Defined","1.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202615","BDX_TTR: QS TT readiness audit others","Defined","2.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202614","BDX_TTR: EDC Grouping TT analysis per die/pck","Defined","2.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202613","BDX_TTR: Search for improvements and TT reduction oportunities per TP basis","Defined","4.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202612","BDX_TTR: TTR Analysis and Feedback to MO if required per TP basis","Defined","2.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202611","BDX_TTR: Report TT actuals","Defined","1.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202610","BDX_TTR: QS TT readiness audit IO/SIO","Defined","4.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202609","BDX_TTR: Search for improvements and TT reduction oportunities per TP basis","Defined","4.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202608","BDX_TTR: TTR Analysis and Feedback to MO if required per TP basis","Defined","2.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202607","BDX_TTR: Report TT actuals","Defined","1.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202606","BDX_FAFI: Get inputs from MO and implement imrprovements","Defined","4.0","Feature F4246: BDX ML Q215 Content deployed at QS levels","Class TPI - Rave","0","Q215","False",""
"US202605","BDX_TTR: UPS FF implementation","Defined","2.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202604","BDX_TTR: QS TT readiness audit Power","Defined","4.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202603","BDX_TTR: TTR Analysis and Feedback to MO if required per TP basis","Defined","2.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202602","BDX_TTR: Report TT actuals","Defined","1.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202601","HSX_FWP: Release FWp for ww17 HSX TP","Defined","2.0","Feature F4257: HSX Q215 Deliver final HSX ww17TP to factory","Class TPI - Rave","0","Q215","False",""
"US202600","BDX_FAFI: Get inputs from MO and implement imrprovements","Defined","4.0","Feature F4246: BDX ML Q215 Content deployed at QS levels","Class TPI - Rave","0","Q215","False",""
"US202599","BDX_TTR: QS TT readiness audit SBFT, Cache, Scan","Defined","4.0","Feature F4252: BDX ML Q215 Drive to BDX-ML QS PHI targets  (or de-commit if required)","Class TPI - Rave","0","Q215","False",""
"US202598","BDX_DIVA: Diva Search TTR Part 4","Defined","4.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","Class TPI - Rave","0","Q215","False",""
"US202597","BDX DIVA. Diva search module release WW 31 TP Part 2","Defined","4.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","Class TPI - Rave","0","Q215","False",""
"US202596","BDX DIVA. Diva search module release WW 31 TP Part 1","Defined","4.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","Class TPI - Rave","0","Q215","False",""
"US202595","BDX DIVA. Diva search module release WW 29 TP Part 2","Defined","4.0","Feature F4244: BDX ML Q215 Deploy BDX-ML HCC validated DIVA testing with full UPS enabled to QS TP (all dynamic domains)","Class TPI - Rave","0","Q215","False",""
"US202594","BDX_DIVA. Diva search module release WW 29 TP Part 1","Defined","4.0","Feature F4244: BDX ML Q215 Deploy BDX-ML HCC validated DIVA testing with full UPS enabled to QS TP (all dynamic domains)","Class TPI - Rave","0","Q215","False",""
"US202593","BDX_DIVA: Diva Search TTR Part 3","Defined","4.0","Feature F4244: BDX ML Q215 Deploy BDX-ML HCC validated DIVA testing with full UPS enabled to QS TP (all dynamic domains)","Class TPI - Rave","0","Q215","False",""
"US202592","BDX_DIVA. Diva search module release WW 27 TP Part 2","Defined","4.0","Feature F4244: BDX ML Q215 Deploy BDX-ML HCC validated DIVA testing with full UPS enabled to QS TP (all dynamic domains)","Class TPI - Rave","0","Q215","False",""
"US202591","BDX_DIVA. Diva search module release WW 27 TP Part 1","Defined","4.0","Feature F4244: BDX ML Q215 Deploy BDX-ML HCC validated DIVA testing with full UPS enabled to QS TP (all dynamic domains)","Class TPI - Rave","0","Q215","False",""
"US202590","BDX_DIVA: Diva Search TTR Part 2","Defined","4.0","Feature F4244: BDX ML Q215 Deploy BDX-ML HCC validated DIVA testing with full UPS enabled to QS TP (all dynamic domains)","Class TPI - Rave","0","Q215","False",""
"US202589","BDX_DIVA. Diva search module release WW 25 TP Part 2","Defined","4.0","Feature F4244: BDX ML Q215 Deploy BDX-ML HCC validated DIVA testing with full UPS enabled to QS TP (all dynamic domains)","Class TPI - Rave","0","Q215","False",""
"US202588","BDX_DIVA. Diva search module release WW 25 TP Part 1","Defined","4.0","Feature F4244: BDX ML Q215 Deploy BDX-ML HCC validated DIVA testing with full UPS enabled to QS TP (all dynamic domains)","Class TPI - Rave","0","Q215","False",""
"US202587","BDX_DIVA. Diva search self signature optimization exeperiments Part 3","Defined","4.0","Feature F4244: BDX ML Q215 Deploy BDX-ML HCC validated DIVA testing with full UPS enabled to QS TP (all dynamic domains)","Class TPI - Rave","0","Q215","False",""
"US202586","BDX_DIVA. Diva search limits optimization. DF DV replacement experiment Part 3","Defined","4.0","Feature F4244: BDX ML Q215 Deploy BDX-ML HCC validated DIVA testing with full UPS enabled to QS TP (all dynamic domains)","Class TPI - Rave","0","Q215","False",""
"US202585","BDX_DIVA. Diva search self signature optimization exeperiments Part 2","Defined","4.0","Feature F4244: BDX ML Q215 Deploy BDX-ML HCC validated DIVA testing with full UPS enabled to QS TP (all dynamic domains)","Class TPI - Rave","0","Q215","False",""
"US202584","BDX_DIVA. Diva search module release WW 23 TP Part 2","Defined","4.0","Feature F4244: BDX ML Q215 Deploy BDX-ML HCC validated DIVA testing with full UPS enabled to QS TP (all dynamic domains)","Class TPI - Rave","0","Q215","False",""
"US202583","BDX_DIVA. Diva search module release WW 23 TP Part 1","Defined","4.0","Feature F4244: BDX ML Q215 Deploy BDX-ML HCC validated DIVA testing with full UPS enabled to QS TP (all dynamic domains)","Class TPI - Rave","0","Q215","False",""
